Title,IMDb Rating,Year,Certificates,Genre,Director,Star Cast,MetaScore,Poster-src,Duration (minutes)
End of the Spear,6.8,2005,PG-13,Adventure,Jim Hanon,Louie LeonardoChad AllenJack Guzman,45.0,"https://m.media-amazon.com/images/M/MV5BMTYxOTU0NDUzMV5BMl5BanBnXkFtZTcwNDgzMTczMQ@@._V1_QL75_UX190_CR0,2,190,281_.jpg",108.0
Elvira Madigan,7.0,1967,PG,Biography,Bo Widerberg,Pia DegermarkThommy BerggrenLennart Malmer,66.0,"https://m.media-amazon.com/images/M/MV5BMmY2NjA5MTktYTAxOS00M2Q2LWE3OGEtMjQ0Y2UxNTE2OGE1XkEyXkFqcGdeQXVyMjI4MjA5MzA@._V1_QL75_UY281_CR7,0,190,281_.jpg",91.0
The Kid Stays in the Picture,7.3,2002,R,Documentary,Nanette Burstein,Robert EvansEddie AlbertPeter Bart,75.0,"https://m.media-amazon.com/images/M/MV5BZjhiZmI4NjgtZjhiNC00MGNhLTg4YWMtOWIwYzJhMjc2Yjk1XkEyXkFqcGdeQXVyMTUzMDUzNTI3._V1_QL75_UX190_CR0,1,190,281_.jpg",93.0
It Ain't Over,8.2,2022,PG,Documentary,Sean Mullin,Andy AndresRoger AngellMarty Appel,79.0,"https://m.media-amazon.com/images/M/MV5BZWViYWYzOGYtNzUwMC00N2QwLWIzMTktN2I3ODU3N2UyNDIwXkEyXkFqcGdeQXVyMTQyODg5MjQw._V1_QL75_UX190_CR0,0,190,281_.jpg",99.0
Mahler,7.0,1974,PG,Biography,Ken Russell,Robert PowellGeorgina HaleLee Montague,66.0,"https://m.media-amazon.com/images/M/MV5BYzY4MzQ3ZWMtMDM5ZC00ODcxLWEwMDgtZWYzMTJlMGRlZmU1XkEyXkFqcGdeQXVyMjUyNDk2ODc@._V1_QL75_UX190_CR0,2,190,281_.jpg",115.0
The Dark Horse,7.4,2014,R,Biography,James Napier Robertson,Cliff CurtisJames RollestonKirk Torrance,77.0,"https://m.media-amazon.com/images/M/MV5BMjQzNjIxOTI4OF5BMl5BanBnXkFtZTgwMzQwNTg5NzE@._V1_QL75_UY281_CR0,0,190,281_.jpg",124.0
Stephen Curry: Underrated,7.3,2023,PG-13,Documentary,Peter Nicks,Stephen CurryBob McKillopJason Richards,69.0,"https://m.media-amazon.com/images/M/MV5BOTNhZWEzZWYtMDE3ZS00ZTBmLTg4ZTktZTE4ZmI3ZjBkYjQ5XkEyXkFqcGdeQXVyMjkwOTAyMDU@._V1_QL75_UX190_CR0,2,190,281_.jpg",110.0
Carrington,6.8,1995,R,Biography,Christopher Hampton,Emma ThompsonJonathan PryceSteven Waddington,66.0,"https://m.media-amazon.com/images/M/MV5BZjQ3MTBkNDEtMGRlZS00OTY0LTkzYjktOWU2MzI3ZDRiMjY5XkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_QL75_UX190_CR0,2,190,281_.jpg",121.0
Burden,6.7,2018,R,Biography,Andrew Heckler,Garrett HedlundAndrea RiseboroughForest Whitaker,57.0,"https://m.media-amazon.com/images/M/MV5BMTlhNzVmNTktMDRjZi00MTllLWFlNmEtZDhlNmI0MTQxZTU3XkEyXkFqcGdeQXVyOTIxNTAyMzU@._V1_QL75_UX190_CR0,2,190,281_.jpg",117.0
Georgetown,6.2,2019,R,Biography,Christoph Waltz,Christoph WaltzVanessa RedgraveAnnette Bening,49.0,"https://m.media-amazon.com/images/M/MV5BMmZlMzQ5N2MtMWI0ZS00MzMxLWE1MjYtZDUwZGNjYjYzZmYyXkEyXkFqcGdeQXVyMTA3MDk2NDg2._V1_QL75_UX190_CR0,2,190,281_.jpg",99.0
